"Upload Image","Upload Image"
"Easy Lightbox","Easy Lightbox"
"Add jQuery library","Add jQuery library"
"<span style=""color: #f00"">Required, if your theme does not include jQuery by default</span>","<span style=""color: #f00"">Required, if your theme does not include jQuery by default</span>"
"Keep Magento zoom on main product image","Keep Magento zoom on main product image"
"Image size","Image size"
"Lightbox","Lightbox"
"Leave empty to use original picture in lightbox popup","Leave empty to use original picture in lightbox popup"
"Main image","Main image"
"Lightbox settings","Lightbox settings"
"Show product name in lightbox title, if image title is empty","Show product name in lightbox title, if image title is empty"
"Lightbox resize duration, ms","Lightbox resize duration, ms"
"Overlay fade duration, ms","Overlay fade duration, ms"
"Show first image after the last one","Show first image after the last one"
"Label 'Image'","Label 'Image'"
"Translation for 'Image' word: 'Image # of #'","Translation for 'Image' word: 'Image # of #'"
"Label 'of'","Label 'of'"
"Translation for 'of' word: 'Image # of #'","Translation for 'of' word: 'Image # of #'"
"Display mode","Display mode"
"Lightbox group","Lightbox group"
"Image preview width, px","Image preview width, px"
"Image preview height, px","Image preview height, px"
"Lightbox Width, px","Lightbox Width, px"
"Lightbox Height, px","Lightbox Height, px"
